step,condition,waiting_time,queue_length
0,maestro_fl,0.0,0
1,maestro_fl,0.0,0
2,maestro_fl,0.0,0
3,maestro_fl,0.0,0
4,maestro_fl,0.0,0
5,maestro_fl,0.0,0
6,maestro_fl,0.0,0
7,maestro_fl,0.0,0
8,maestro_fl,0.0,0
9,maestro_fl,0.0,0
10,maestro_fl,0.0,0
11,maestro_fl,0.0,0
12,maestro_fl,0.0,0
13,maestro_fl,0.0,0
14,maestro_fl,0.0,0
15,maestro_fl,0.0,0
16,maestro_fl,0.0,0
17,maestro_fl,0.0,0
18,maestro_fl,1.0,1
19,maestro_fl,8.0,2
20,maestro_fl,18.0,2
21,maestro_fl,28.0,2
22,maestro_fl,39.0,3
23,maestro_fl,54.0,3
24,maestro_fl,69.0,3
25,maestro_fl,84.0,3
26,maestro_fl,99.0,3
27,maestro_fl,114.0,3
28,maestro_fl,129.0,3
29,maestro_fl,0.0,0
30,maestro_fl,5.0,1
31,maestro_fl,0.0,0
32,maestro_fl,0.0,0
33,maestro_fl,0.0,0
34,maestro_fl,0.0,0
35,maestro_fl,0.0,0
36,maestro_fl,0.0,0
37,maestro_fl,0.0,0
38,maestro_fl,1.0,1
39,maestro_fl,0.0,0
40,maestro_fl,0.0,0
41,maestro_fl,0.0,0
42,maestro_fl,0.0,0
43,maestro_fl,0.0,0
44,maestro_fl,1.0,1
45,maestro_fl,0.0,0
46,maestro_fl,0.0,0
47,maestro_fl,0.0,0
48,maestro_fl,3.0,1
49,maestro_fl,0.0,0
50,maestro_fl,4.0,1
51,maestro_fl,0.0,0
52,maestro_fl,0.0,0
53,maestro_fl,0.0,0
54,maestro_fl,0.0,0
55,maestro_fl,0.0,0
56,maestro_fl,0.0,0
57,maestro_fl,0.0,0
58,maestro_fl,0.0,0
59,maestro_fl,0.0,0
60,maestro_fl,0.0,0
61,maestro_fl,0.0,0
62,maestro_fl,0.0,0
63,maestro_fl,0.0,0
64,maestro_fl,1.0,1
65,maestro_fl,6.0,1
66,maestro_fl,11.0,1
67,maestro_fl,16.0,1
68,maestro_fl,21.0,1
69,maestro_fl,26.0,1
70,maestro_fl,31.0,1
71,maestro_fl,36.0,1
72,maestro_fl,41.0,1
73,maestro_fl,46.0,1
74,maestro_fl,51.0,1
75,maestro_fl,56.0,1
76,maestro_fl,61.0,1
77,maestro_fl,66.0,1
78,maestro_fl,71.0,1
79,maestro_fl,76.0,1
80,maestro_fl,81.0,1
81,maestro_fl,86.0,1
82,maestro_fl,91.0,1
83,maestro_fl,96.0,1
84,maestro_fl,101.0,1
85,maestro_fl,106.0,1
86,maestro_fl,111.0,1
87,maestro_fl,116.0,1
88,maestro_fl,121.0,1
89,maestro_fl,126.0,1
90,maestro_fl,131.0,1
91,maestro_fl,136.0,1
92,maestro_fl,141.0,1
93,maestro_fl,146.0,1
