step,condition,waiting_time,queue_length
0,ppo_fedprox,0.0,0
1,ppo_fedprox,0.0,0
2,ppo_fedprox,0.0,0
3,ppo_fedprox,0.0,0
4,ppo_fedprox,0.0,0
5,ppo_fedprox,0.0,0
6,ppo_fedprox,0.0,0
7,ppo_fedprox,0.0,0
8,ppo_fedprox,0.0,0
9,ppo_fedprox,0.0,0
10,ppo_fedprox,0.0,0
11,ppo_fedprox,0.0,0
12,ppo_fedprox,0.0,0
13,ppo_fedprox,0.0,0
14,ppo_fedprox,0.0,0
15,ppo_fedprox,0.0,0
16,ppo_fedprox,0.0,0
17,ppo_fedprox,1.0,1
18,ppo_fedprox,0.0,0
19,ppo_fedprox,2.0,1
20,ppo_fedprox,0.0,0
21,ppo_fedprox,0.0,0
22,ppo_fedprox,0.0,0
23,ppo_fedprox,0.0,0
24,ppo_fedprox,0.0,0
25,ppo_fedprox,0.0,0
26,ppo_fedprox,0.0,0
27,ppo_fedprox,0.0,0
28,ppo_fedprox,0.0,0
29,ppo_fedprox,0.0,0
30,ppo_fedprox,0.0,0
31,ppo_fedprox,0.0,0
32,ppo_fedprox,0.0,0
33,ppo_fedprox,0.0,0
34,ppo_fedprox,0.0,0
35,ppo_fedprox,0.0,0
36,ppo_fedprox,0.0,0
37,ppo_fedprox,0.0,0
38,ppo_fedprox,0.0,0
39,ppo_fedprox,0.0,0
40,ppo_fedprox,0.0,0
41,ppo_fedprox,0.0,0
42,ppo_fedprox,0.0,0
43,ppo_fedprox,4.0,1
44,ppo_fedprox,0.0,0
45,ppo_fedprox,0.0,0
46,ppo_fedprox,0.0,0
47,ppo_fedprox,0.0,0
48,ppo_fedprox,0.0,0
49,ppo_fedprox,0.0,0
50,ppo_fedprox,0.0,0
51,ppo_fedprox,0.0,0
52,ppo_fedprox,0.0,0
53,ppo_fedprox,0.0,0
54,ppo_fedprox,0.0,0
55,ppo_fedprox,0.0,0
56,ppo_fedprox,0.0,0
57,ppo_fedprox,0.0,0
58,ppo_fedprox,0.0,0
59,ppo_fedprox,0.0,0
60,ppo_fedprox,5.0,1
61,ppo_fedprox,10.0,1
62,ppo_fedprox,15.0,1
63,ppo_fedprox,20.0,1
64,ppo_fedprox,25.0,1
65,ppo_fedprox,30.0,1
66,ppo_fedprox,35.0,1
67,ppo_fedprox,40.0,1
68,ppo_fedprox,45.0,1
69,ppo_fedprox,50.0,1
70,ppo_fedprox,55.0,1
71,ppo_fedprox,60.0,1
72,ppo_fedprox,65.0,1
73,ppo_fedprox,70.0,1
74,ppo_fedprox,75.0,1
75,ppo_fedprox,80.0,1
76,ppo_fedprox,85.0,1
77,ppo_fedprox,90.0,1
78,ppo_fedprox,95.0,1
79,ppo_fedprox,100.0,1
80,ppo_fedprox,105.0,1
81,ppo_fedprox,110.0,1
82,ppo_fedprox,115.0,1
83,ppo_fedprox,120.0,1
84,ppo_fedprox,125.0,1
85,ppo_fedprox,130.0,1
86,ppo_fedprox,135.0,1
87,ppo_fedprox,140.0,1
88,ppo_fedprox,145.0,1
89,ppo_fedprox,150.0,1
90,ppo_fedprox,155.0,1
91,ppo_fedprox,160.0,1
92,ppo_fedprox,165.0,1
93,ppo_fedprox,173.0,2
94,ppo_fedprox,183.0,2
95,ppo_fedprox,193.0,2
96,ppo_fedprox,203.0,2
97,ppo_fedprox,213.0,2
98,ppo_fedprox,223.0,2
99,ppo_fedprox,233.0,2
100,ppo_fedprox,243.0,2
101,ppo_fedprox,253.0,2
102,ppo_fedprox,263.0,2
103,ppo_fedprox,273.0,2
104,ppo_fedprox,283.0,2
105,ppo_fedprox,293.0,2
106,ppo_fedprox,303.0,2
107,ppo_fedprox,313.0,2
108,ppo_fedprox,323.0,2
109,ppo_fedprox,333.0,2
110,ppo_fedprox,343.0,2
111,ppo_fedprox,353.0,2
112,ppo_fedprox,363.0,2
113,ppo_fedprox,373.0,2
114,ppo_fedprox,383.0,2
115,ppo_fedprox,393.0,2
116,ppo_fedprox,403.0,2
117,ppo_fedprox,413.0,2
118,ppo_fedprox,423.0,2
119,ppo_fedprox,433.0,2
120,ppo_fedprox,138.0,1
121,ppo_fedprox,143.0,1
122,ppo_fedprox,148.0,1
123,ppo_fedprox,153.0,1
124,ppo_fedprox,158.0,1
125,ppo_fedprox,163.0,1
126,ppo_fedprox,168.0,1
127,ppo_fedprox,173.0,1
128,ppo_fedprox,178.0,1
129,ppo_fedprox,183.0,1
130,ppo_fedprox,188.0,1
131,ppo_fedprox,193.0,1
132,ppo_fedprox,198.0,1
133,ppo_fedprox,203.0,1
134,ppo_fedprox,208.0,1
135,ppo_fedprox,213.0,1
136,ppo_fedprox,218.0,1
137,ppo_fedprox,223.0,1
138,ppo_fedprox,228.0,1
139,ppo_fedprox,233.0,1
140,ppo_fedprox,238.0,1
141,ppo_fedprox,243.0,1
142,ppo_fedprox,248.0,1
143,ppo_fedprox,253.0,1
144,ppo_fedprox,258.0,1
