timestamp,junction_id,queue_length,waiting_time,current_phase,phase_duration,vehicle_count
0.0,J0,12,29.31,0,0.0,14
0.0,J1,21,58.49,0,0.0,22
0.0,J2,21,56.7,0,0.0,23
1.0,J0,11,34.28,1,1.0,14
1.0,J1,19,47.77,1,1.0,23
1.0,J2,16,48.01,1,1.0,18
2.0,J0,12,32.55,2,2.0,15
2.0,J1,19,42.35,2,2.0,21
2.0,J2,20,49.74,2,2.0,20
3.0,J0,14,32.11,3,3.0,18
3.0,J1,20,53.46,3,3.0,20
3.0,J2,18,47.47,3,3.0,21
4.0,J0,16,30.71,0,4.0,19
4.0,J1,20,54.05,0,4.0,20
4.0,J2,20,41.76,0,4.0,21
5.0,J0,12,35.96,1,5.0,15
5.0,J1,22,58.86,1,5.0,25
5.0,J2,18,45.22,1,5.0,22
6.0,J0,17,36.51,2,6.0,18
6.0,J1,22,56.83,2,6.0,26
6.0,J2,18,43.6,2,6.0,18
7.0,J0,16,39.27,3,7.0,16
7.0,J1,23,59.35,3,7.0,25
7.0,J2,18,50.79,3,7.0,19
8.0,J0,15,40.5,0,8.0,15
8.0,J1,18,60.49,0,8.0,22
8.0,J2,18,49.73,0,8.0,20
9.0,J0,13,48.74,1,9.0,15
9.0,J1,22,62.67,1,9.0,24
9.0,J2,11,45.69,1,9.0,12
10.0,J0,15,43.29,2,10.0,15
10.0,J1,22,44.93,2,10.0,26
10.0,J2,14,32.69,2,10.0,16
11.0,J0,21,50.05,3,11.0,24
11.0,J1,23,56.29,3,11.0,26
11.0,J2,14,31.72,3,11.0,16
12.0,J0,17,45.31,0,12.0,17
12.0,J1,20,52.7,0,12.0,20
12.0,J2,12,32.13,0,12.0,14
13.0,J0,16,46.12,1,13.0,18
13.0,J1,19,49.85,1,13.0,21
13.0,J2,14,25.6,1,13.0,14
14.0,J0,18,48.53,2,14.0,19
14.0,J1,17,53.3,2,14.0,17
14.0,J2,13,35.89,2,14.0,17
15.0,J0,22,43.09,3,15.0,23
15.0,J1,16,60.24,3,15.0,19
15.0,J2,12,29.17,3,15.0,12
16.0,J0,18,58.03,0,16.0,21
16.0,J1,20,53.24,0,16.0,20
16.0,J2,12,25.06,0,16.0,16
17.0,J0,19,56.2,1,17.0,22
17.0,J1,20,49.56,1,17.0,22
17.0,J2,10,28.13,1,17.0,10
18.0,J0,19,60.37,2,18.0,20
18.0,J1,21,55.16,2,18.0,21
18.0,J2,10,30.69,2,18.0,13
19.0,J0,17,53.84,3,19.0,17
19.0,J1,20,53.5,3,19.0,20
19.0,J2,12,21.02,3,19.0,14
20.0,J0,20,59.1,0,20.0,20
20.0,J1,18,49.74,0,20.0,21
